name,city,department,rental_possible_status,rental_possible_confidence,rental_positive_signals,rental_negative_signals,is_aggregator,aggregator_domain,missing_formal_fields,email_questions,contact,price_text,capacity_text,address,source_url,formal_extraction_status,formal_scrape_http_status
"THE BEST 10 Dance Studios in SAINT-MAUR-DES-FOSSÉS, VAL ...",Val-de-Marne,94,unclear,low,,,yes,yelp.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://www.yelp.com/search?cflt=dancestudio&find_loc=Saint-Maur-des-Foss%C3%A9s%2C+Val-de-Marne,fetch_failed,
"Best Dance Studios near Boulogne-Billancourt, Hauts-de-Seine ...",Hauts-de-Seine,92,unclear,low,,,yes,m.yelp.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://m.yelp.com/search?find_desc=Dance+Studios&find_loc=Boulogne-Billancourt,fetch_failed,
Danse salles et leçons en Val-de-marne,Val-de-Marne,94,unclear,low,,,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://www.pagesjaunes.fr/annuaire/departement/val-de-marne-94/danse-salles-et-lecons,fetch_failed,
"Local de répétition / Location, recherche en Seine et Marne",Seine-et-Marne,77,unlikely,medium,,cours de danse,yes,spectable.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Vérifier s’ils louent réellement une salle à des tiers ; le site ressemble à des cours/abonnements plutôt qu’à une location.,,,,,https://www.spectable.com/seine-et-marne/petites-annonces/local-de-repetition/n_2648-l_119.php,fetch_failed,
"Local de répétition / Location, recherche dans le Val de Marne",Val-de-Marne,94,unclear,low,,,yes,spectable.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://www.spectable.com/val-de-marne/petites-annonces/local-de-repetition/n_2648-l_136.php,fetch_failed,
"Local de répétition / Location, recherche dans les Hauts de Seine",Hauts-de-Seine,92,unclear,low,,,yes,spectable.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://www.spectable.com/hauts-de-seine/petites-annonces/local-de-repetition/n_2648-l_134.php,fetch_failed,
Danse salles et leçons en Seine-saint-denis - Pages Jaunes,Seine-Saint-Denis,93,unlikely,medium,,cours collectifs,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Vérifier s’ils louent réellement une salle à des tiers ; le site ressemble à des cours/abonnements plutôt qu’à une location.,,,,,https://www.pagesjaunes.fr/annuaire/departement/seine-saint-denis-93/danse-salles-et-lecons,fetch_failed,
"Local de répétition / Location, recherche en Seine Saint Denis",Seine-Saint-Denis,93,unclear,low,,,yes,spectable.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://www.spectable.com/seine-saint-denis/petites-annonces/local-de-repetition/n_2648-l_40876.php,fetch_failed,
Location de studios de répétition en Yvelines - Pages Jaunes,Yvelines,78,unclear,low,,,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://www.pagesjaunes.fr/annuaire/departement/yvelines-78/location-de-studios-de-repetition,fetch_failed,
"Local de répétition / Location, recherche à Corbeil Essonnes (91100)",Essonne,91,unclear,low,,,yes,spectable.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://www.spectable.com/corbeil-essonnes-91100/petites-annonces/local-de-repetition/n_2648-l_17548.php,fetch_failed,
Location de studio - Paris Marais Dance School,Paris,75,unclear,low,,,no,paris-marais-dance-school.org,capacité,Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,06 51 21 37 30,50€/h; 50€,,26 boulevard de Sébastopol 75004 Paris,https://www.paris-marais-dance-school.org/location-studio,scraped,200
20 meilleur Studios De Danse à louer à proximité - Peerspace,Essonne,91,unlikely,medium,,cours de danse,yes,peerspace.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Vérifier s’ils louent réellement une salle à des tiers ; le site ressemble à des cours/abonnements plutôt qu’à une location.,,,,,https://www.peerspace.com/fr/plan/dance-studio,fetch_failed,
"Studio Influence - Reviews, Photos & Phone Number - Updated ...",Val-d'Oise,95,unclear,low,,,no,studio-influence.wheree.com,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://studio-influence.wheree.com,fetch_failed,
Danse salles et leçons en Essonne - Pages Jaunes,Essonne,91,unclear,low,,,yes,pagesjaunes.fr,"adresse précise, contact, prix, capacité",Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Demander explicitement si une location/privatisation de salle est possible.,,,,,https://www.pagesjaunes.fr/annuaire/departement/essonne-91/danse-salles-et-lecons,fetch_failed,
Location - Capdanse,Seine-et-Marne,77,unlikely,medium,,cours de danse,no,capdanse.fr,"adresse précise, prix, capacité",Confirmer adresse précise; Confirmer prix; Confirmer capacité; Vérifier s’ils louent réellement une salle à des tiers ; le site ressemble à des cours/abonnements plutôt qu’à une location.,capdansemail@gmail.com,,,,http://www.capdanse.fr/location.html,scraped,200
"Louer un studio de yoga à Nanterre, Île-de-France - Peerspace",Hauts-de-Seine,92,possible,medium,louer un studio,,yes,peerspace.com,"adresse précise, contact, prix, capacité","Confirmer adresse précise; Confirmer contact; Confirmer prix; Confirmer capacité; Confirmer modalités exactes de location, disponibilités, prix, capacité et conditions.",,,,,https://www.peerspace.com/fr/venues/fr/nanterre--%C3%AEle-de-france/yoga-studio,fetch_failed,
