_dataset,actionability_score,activity_tags,address,aggregator_domain,ai_source_file,ai_source_kind,ai_source_record_id,candidate_id,candidate_status,capacity_max_detected,capacity_text,category,city,confidence_score,constraints_tags,contact,dedupe_key,department,description,email_questions,evidence_text,fit_beyond_score,formal_completeness_score,formal_extraction_status,formal_scrape_checked_at,formal_scrape_content_type,geo_status,is_aggregator,last_seen_at,lat,lon,missing_formal_fields,name,observation_count,page_type,price_score,price_text,rental_decision_needed,rental_email_question,rental_negative_signals,rental_positive_signals,rental_possible_confidence,rental_possible_status,source_confidence,source_domain,source_reliability,source_url,space_tags,specific_rental_page_url,website
candidate,75,,,,ai_classify_retry_chunk_0.jsonl,single,venue_venue_spacebase.com_rent dojo 5 salle 2 paris_gentilly,venue_venue_spacebase.com_rent dojo 5 salle 2 paris_gentilly,to_contact,0,,venue with rental page,Gentilly,0.75,,,dojo_5_salle_2_gentilly,94,"Page de réservation Spacebase pour une salle précise avec capacité et tarifs, mais adresse et contact public absents.","address, capacity, email, phone, postal_code, price","Page de réservation Spacebase pour une salle précise avec capacité et tarifs, mais adresse et contact public absents.",75,2/8,ai_adaptive_extracted,2026-06-20,venue_with_rental_page,in_scope,no,2026-06-20,48.815243,2.35044,"address, capacity, email, phone, postal_code, price",DOJO 5 - SALLE 2,1,venue_with_rental_page,0,,no,,,"Page de réservation Spacebase pour une salle précise avec capacité et tarifs, mais adresse et contact public absents.",0.85,possible,0.75,spacebase.com,S3,https://www.spacebase.com/en/venue/salle-2-1056508,,https://www.spacebase.com/en/venue/salle-2-1056508,https://www.spacebase.com/en/venue/salle-2-1056508
candidate,55,,,,ai_classify_retry_chunk_0.jsonl,single,venue_venue_isospace.fr_amenagement du studio de yoga yoganmove_villejuif,venue_venue_isospace.fr_amenagement du studio de yoga yoganmove_villejuif,new,0,,venue no rental info,Villejuif,0.75,,,yog_n_move_villejuif,94,"Étude de réalisation sur un studio de yoga précis à Villejuif, sans informations de location ni coordonnées du lieu.","address, capacity, email, phone, postal_code, price, rental_page_url","Étude de réalisation sur un studio de yoga précis à Villejuif, sans informations de location ni coordonnées du lieu.",55,1/8,ai_adaptive_extracted,2026-06-20,venue_no_rental_info,in_scope,no,2026-06-20,,,"address, capacity, email, phone, postal_code, price, rental_page_url",Yog'n'Move,1,venue_no_rental_info,0,,yes,"Étude de réalisation sur un studio de yoga précis à Villejuif, sans informations de location ni coordonnées du lieu.",,,0.55,unclear,0.75,isospace.fr,S3,https://www.isospace.fr/realisations/studio-de-yoga-yognmove,,,https://www.isospace.fr/realisations/studio-de-yoga-yognmove
candidate,75,,Arcueil,,ai_classify_retry_chunk_0.jsonl,single,venue_venue_i-flow.fr_i_arcueil,venue_venue_i-flow.fr_i_arcueil,to_contact,0,,venue rental mentioned,Arcueil,0.75,,,i_flow_arcueil,94,Page d'accueil d'un lieu de bien-être précis indiquant une adresse et un espace à louer; lien de réservation présent.,"capacity, email, phone, postal_code, price",Page d'accueil d'un lieu de bien-être précis indiquant une adresse et un espace à louer; lien de réservation présent.,75,3/8,ai_adaptive_extracted,2026-06-20,venue_rental_mentioned,in_scope,no,2026-06-20,48.810096,2.330622,"capacity, email, phone, postal_code, price",I-Flow,1,venue_rental_mentioned,0,,no,,,Page d'accueil d'un lieu de bien-être précis indiquant une adresse et un espace à louer; lien de réservation présent.,0.85,possible,0.75,i-flow.fr,S4,https://www.i-flow.fr,,https://www.i-flow.fr/reserver,https://www.i-flow.fr
candidate,75,,Villejuif,,ai_classify_retry_chunk_0.jsonl,single,obs_legacy-source-records_6b0aa28ab0,obs_legacy-source-records_6b0aa28ab0,to_contact,0,,venue with rental page,Villejuif,0.75,,,location_magnifique_salle_neuve_pour_stage_et_formation_villejuif,94,"Annonce de lieu à louer avec gestionnaire, téléphone, email et adresse complète à Villejuif.","capacity, email, phone, price","Annonce de lieu à louer avec gestionnaire, téléphone, email et adresse complète à Villejuif.",75,4/8,ai_adaptive_extracted,2026-06-20,venue_with_rental_page,in_scope,no,2026-06-20,48.801196,2.364803,"capacity, email, phone, price",Location magnifique salle neuve pour stage et formation,1,venue_with_rental_page,0,,no,,,"Annonce de lieu à louer avec gestionnaire, téléphone, email et adresse complète à Villejuif.",0.85,possible,0.75,yogmee.fr,S3,https://www.yogmee.fr/salles/location-magnifique-salle-neuve-pour-stage-et-formation,,https://www.yogmee.fr/salles/location-magnifique-salle-neuve-pour-stage-et-formation,https://www.yogmee.fr/salles/location-magnifique-salle-neuve-pour-stage-et-formation
candidate,55,,,,ai_classify_retry_chunk_0.jsonl,single,venue_venue_ville-gentilly.fr_pdf pratique_gentilly,venue_venue_ville-gentilly.fr_pdf pratique_gentilly,new,0,,multi venue listing,Gentilly,0.75,,,pdf_pratique_gentilly,94,Guide PDF municipal listant plusieurs locaux associatifs avec noms et adresses partielles.,"capacity, email, phone, postal_code, price, rental_page_url",Guide PDF municipal listant plusieurs locaux associatifs avec noms et adresses partielles.,55,2/8,ai_adaptive_extracted,2026-06-20,multi_venue_listing,in_scope,no,2026-06-20,,,"capacity, email, phone, postal_code, price, rental_page_url",[PDF] PRATIQUE,1,multi_venue_listing,0,,yes,Guide PDF municipal listant plusieurs locaux associatifs avec noms et adresses partielles.,,,0.55,unclear,0.75,ville-gentilly.fr,S3,https://www.ville-gentilly.fr/sites/default/files/guidevieassociative.pdf,,,https://www.ville-gentilly.fr/sites/default/files/guidevieassociative.pdf
candidate,50,,Gentilly,,ai_classify_retry_chunk_0.jsonl,extracted_from_listing,venue_venue_ville-gentilly.fr_pdf pratique_gentilly,venue_venue_ville-gentilly.fr_pdf pratique_gentilly_x0_2c450978ef,new,0,,multi venue listing,Gentilly,0.65,,,centre_municipal_d_action_culturelle_cmac_gentilly,94,Guide PDF municipal listant plusieurs locaux associatifs avec noms et adresses partielles.,"capacity, email, phone, postal_code, price, rental_page_url","Centre Municipal d’Action Culturelle — CMAC | 2, rue Jules-Ferry",50,2/8,ai_adaptive_extracted,2026-06-20,multi_venue_listing,in_scope,no,2026-06-20,,,"capacity, email, phone, postal_code, price, rental_page_url",Centre Municipal d’Action Culturelle — CMAC,1,multi_venue_listing,0,,yes,Guide PDF municipal listant plusieurs locaux associatifs avec noms et adresses partielles.,,,0.55,unclear,0.65,ville-gentilly.fr,S3,https://www.ville-gentilly.fr/sites/default/files/guidevieassociative.pdf,,,https://www.ville-gentilly.fr/sites/default/files/guidevieassociative.pdf
candidate,50,,Gentilly,,ai_classify_retry_chunk_0.jsonl,extracted_from_listing,venue_venue_ville-gentilly.fr_pdf pratique_gentilly,venue_venue_ville-gentilly.fr_pdf pratique_gentilly_x1_1969428d18,new,0,,multi venue listing,Gentilly,0.65,,,espace_roger_ossart_et_salle_d_activit_s_kleynhoff_gentilly,94,Guide PDF municipal listant plusieurs locaux associatifs avec noms et adresses partielles.,"capacity, email, phone, postal_code, price, rental_page_url","Espace Roger Ossart et salle d’activités Kleynhoff | 7, rue Henri-Kleynhoff",50,2/8,ai_adaptive_extracted,2026-06-20,multi_venue_listing,in_scope,no,2026-06-20,,,"capacity, email, phone, postal_code, price, rental_page_url",Espace Roger Ossart et salle d’activités Kleynhoff,1,multi_venue_listing,0,,yes,Guide PDF municipal listant plusieurs locaux associatifs avec noms et adresses partielles.,,,0.55,unclear,0.65,ville-gentilly.fr,S3,https://www.ville-gentilly.fr/sites/default/files/guidevieassociative.pdf,,,https://www.ville-gentilly.fr/sites/default/files/guidevieassociative.pdf
candidate,50,,Gentilly,,ai_classify_retry_chunk_0.jsonl,extracted_from_listing,venue_venue_ville-gentilly.fr_pdf pratique_gentilly,venue_venue_ville-gentilly.fr_pdf pratique_gentilly_x2_66a9662eba,new,0,,multi venue listing,Gentilly,0.65,,,pr_au_de_l_cole_henri_barbusse_gentilly,94,Guide PDF municipal listant plusieurs locaux associatifs avec noms et adresses partielles.,"capacity, email, phone, postal_code, price, rental_page_url","Préau de l’école Henri Barbusse | 14, place Henri-Barbusse",50,2/8,ai_adaptive_extracted,2026-06-20,multi_venue_listing,in_scope,no,2026-06-20,,,"capacity, email, phone, postal_code, price, rental_page_url",Préau de l’école Henri Barbusse,1,multi_venue_listing,0,,yes,Guide PDF municipal listant plusieurs locaux associatifs avec noms et adresses partielles.,,,0.55,unclear,0.65,ville-gentilly.fr,S3,https://www.ville-gentilly.fr/sites/default/files/guidevieassociative.pdf,,,https://www.ville-gentilly.fr/sites/default/files/guidevieassociative.pdf
candidate,50,,Gentilly,,ai_classify_retry_chunk_0.jsonl,extracted_from_listing,venue_venue_ville-gentilly.fr_pdf pratique_gentilly,venue_venue_ville-gentilly.fr_pdf pratique_gentilly_x3_47429550a5,new,0,,multi venue listing,Gentilly,0.65,,,salle_du_foyer_fr_rot_gentilly,94,Guide PDF municipal listant plusieurs locaux associatifs avec noms et adresses partielles.,"capacity, email, phone, postal_code, price, rental_page_url","Salle du foyer Frérot | 8, rue Charles-Frérot",50,2/8,ai_adaptive_extracted,2026-06-20,multi_venue_listing,in_scope,no,2026-06-20,,,"capacity, email, phone, postal_code, price, rental_page_url",Salle du foyer Frérot,1,multi_venue_listing,0,,yes,Guide PDF municipal listant plusieurs locaux associatifs avec noms et adresses partielles.,,,0.55,unclear,0.65,ville-gentilly.fr,S3,https://www.ville-gentilly.fr/sites/default/files/guidevieassociative.pdf,,,https://www.ville-gentilly.fr/sites/default/files/guidevieassociative.pdf
candidate,50,,Gentilly,,ai_classify_retry_chunk_0.jsonl,extracted_from_listing,venue_venue_ville-gentilly.fr_pdf pratique_gentilly,venue_venue_ville-gentilly.fr_pdf pratique_gentilly_x4_e3809cbcb6,new,0,,multi venue listing,Gentilly,0.65,,,salle_marcel_paul_gentilly,94,Guide PDF municipal listant plusieurs locaux associatifs avec noms et adresses partielles.,"capacity, email, phone, postal_code, price, rental_page_url","Salle Marcel Paul | 17, rue Raymond-Lefebvre",50,2/8,ai_adaptive_extracted,2026-06-20,multi_venue_listing,in_scope,no,2026-06-20,,,"capacity, email, phone, postal_code, price, rental_page_url",Salle Marcel Paul,1,multi_venue_listing,0,,yes,Guide PDF municipal listant plusieurs locaux associatifs avec noms et adresses partielles.,,,0.55,unclear,0.65,ville-gentilly.fr,S3,https://www.ville-gentilly.fr/sites/default/files/guidevieassociative.pdf,,,https://www.ville-gentilly.fr/sites/default/files/guidevieassociative.pdf
